Specimen properties : Thickness,"2.80000",mm
Specimen properties : Width,"13.40000",mm
Specimen properties : Support span,"44.80000",mm

Time,Extension,Load
(s),(mm),(kgf)
"28.10000","1.87186","0.46706"
"28.20000","1.87900","0.46856"
"28.30000","1.88552","0.46860"
"28.40000","1.89181","0.46922"
"28.50000","1.89826","0.47032"
"28.60000","1.90506","0.47106"
"28.70000","1.91199","0.47225"
"28.80000","1.91870","0.47291"
"28.90000","1.92563","0.47415"
"29.00000","1.93192","0.47456"
"29.10000","1.93845","0.47559"
"29.20000","1.94508","0.47610"
"29.30000","1.95189","0.47726"
"29.40000","1.95877","0.47772"
"29.50000","1.96521","0.47887"
"29.60000","1.97165","0.47954"
"29.70000","1.97870","0.48087"
"29.80000","1.98584","0.48225"
"29.90000","1.99216","0.48247"
"30.00000","1.99836","0.48287"
"30.10000","2.00481","0.48399"
"30.20000","2.01202","0.48483"
"30.30000","2.01891","0.48544"
"30.40000","2.02537","0.48663"
"30.50000","2.03196","0.48720"
"30.60000","2.03855","0.48768"
"30.70000","2.04560","0.48895"
"30.80000","2.05202","0.49001"
"30.90000","2.05838","0.49000"
"31.00000","2.06516","0.49138"
"31.10000","2.07178","0.49189"
"31.20000","2.07862","0.49246"
"31.30000","2.08546","0.49405"
"31.40000","2.09237","0.49465"
"31.50000","2.09880","0.49501"
"31.60000","2.10495","0.49552"
"31.70000","2.11169","0.49648"
"31.80000","2.11879","0.49748"
"31.90000","2.12551","0.49826"
"32.00000","2.13200","0.49902"
"32.10000","2.13831","0.49925"
"32.20000","2.14554","0.50040"
"32.30000","2.15243","0.50154"
"32.40000","2.15878","0.50147"
"32.50000","2.16500","0.50213"
"32.60000","2.17156","0.50288"
"32.70000","2.17867","0.50375"
"32.80000","2.18552","0.50406"
"32.90000","2.19197","0.50507"
"33.00000","2.19876","0.50575"
"33.10000","2.20522","0.50635"
"33.20000","2.21192","0.50703"
"33.30000","2.21845","0.50720"
"33.40000","2.22517","0.50879"
"33.50000","2.23194","0.50888"
"33.60000","2.23846","0.50977"
"33.70000","2.24522","0.51024"
"33.80000","2.25220","0.51118"
"33.90000","2.25891","0.51171"
"34.00000","2.26541","0.51268"
"34.10000","2.27160","0.51295"
"34.20000","2.27831","0.51360"
"34.30000","2.28550","0.51474"
"34.40000","2.29209","0.51480"
"34.50000","2.29865","0.51563"
"34.60000","2.30519","0.51622"
"34.70000","2.31214","0.51761"
"34.80000","2.31901","0.51809"
"34.90000","2.32523","0.51819"
"35.00000","2.33162","0.51869"
"35.10000","2.33844","0.51922"
"35.20000","2.34539","0.52041"
"35.30000","2.35205","0.52077"
"35.40000","2.35860","0.52136"
"35.50000","2.36544","0.52207"
"35.60000","2.37213","0.52274"
"35.70000","2.37862","0.52344"
