Specimen properties : Thickness,"2.70000",mm
Specimen properties : Width,"10.50000",mm
Specimen properties : Support span,"43.20000",mm

Time,Extension,Load
(s),(mm),(kgf)
"33.70000","2.24476","0.75038"
"33.80000","2.25196","0.75231"
"33.90000","2.25896","0.75273"
"34.00000","2.26537","0.75384"
"34.10000","2.27189","0.75470"
"34.20000","2.27860","0.75529"
"34.30000","2.28563","0.75664"
"34.40000","2.29197","0.75692"
"34.50000","2.29838","0.75751"
"34.60000","2.30515","0.75858"
"34.70000","2.31182","0.75961"
"34.80000","2.31866","0.76069"
"34.90000","2.32544","0.76117"
"35.00000","2.33235","0.76248"
"35.10000","2.33883","0.76259"
"35.20000","2.34496","0.76370"
"35.30000","2.35169","0.76398"
"35.40000","2.35880","0.76540"
"35.50000","2.36549","0.76620"
"35.60000","2.37199","0.76661"
"35.70000","2.37831","0.76719"
"35.80000","2.38565","0.76850"
"35.90000","2.39247","0.76935"
"36.00000","2.39872","0.76965"
"36.10000","2.40496","0.77018"
"36.20000","2.41157","0.77111"
"36.30000","2.41870","0.77250"
"36.40000","2.42553","0.77305"
"36.50000","2.43191","0.77328"
"36.60000","2.43870","0.77453"
"36.70000","2.44524","0.77509"
"36.80000","2.45202","0.77566"
"36.90000","2.45845","0.77608"
"37.00000","2.46512","0.77727"
"37.10000","2.47195","0.77780"
"37.20000","2.47848","0.77857"
"37.30000","2.48521","0.77883"
"37.40000","2.49226","0.78053"
"37.50000","2.49887","0.78104"
"37.60000","2.50540","0.78133"
"37.70000","2.51160","0.78167"
"37.80000","2.51832","0.78259"
"37.90000","2.52553","0.78400"
"38.00000","2.53205","0.78477"
"38.10000","2.53864","0.78498"
"38.20000","2.54522","0.78617"
"38.30000","2.55223","0.78692"
"38.40000","2.55894","0.78737"
"38.50000","2.56522","0.78811"
"38.60000","2.57163","0.78835"
"38.70000","2.57842","0.78928"
"38.80000","2.58543","0.79034"
"38.90000","2.59204","0.79108"
"39.00000","2.59866","0.79165"
"39.10000","2.60539","0.79271"
"39.20000","2.61207","0.79377"
"39.30000","2.61862","0.79437"
"39.40000","2.62506","0.79485"
"39.50000","2.63194","0.79594"
"39.60000","2.63867","0.79659"
"39.70000","2.64523","0.79777"
"39.80000","2.65198","0.79889"
"39.90000","2.65903","0.79934"
"40.00000","2.66554","0.80030"
"40.10000","2.67192","0.80069"
"40.20000","2.67827","0.80126"
"40.30000","2.68527","0.80265"
"40.40000","2.69225","0.80322"
"40.50000","2.69870","0.80408"
"40.60000","2.70514","0.80449"
"40.70000","2.71195","0.80521"
"40.80000","2.71889","0.80650"
"40.90000","2.72539","0.80711"
"41.00000","2.73168","0.80744"
"41.10000","2.73848","0.80833"
"41.20000","2.74520","0.80901"
"41.30000","2.75188","0.81007"
"41.40000","2.75858","0.81072"
"41.50000","2.76546","0.81178"
"41.60000","2.77213","0.81219"
"41.70000","2.77859","0.81330"
"41.80000","2.78511","0.81382"
"41.90000","2.79185","0.81405"
"42.00000","2.79873","0.81493"
"42.10000","2.80537","0.81578"
"42.20000","2.81182","0.81611"
"42.30000","2.81875","0.81722"
"42.40000","2.82567","0.81777"
"42.50000","2.83211","0.81819"
"42.60000","2.83845","0.81873"
"42.70000","2.84496","0.81949"
"42.80000","2.85196","0.82009"
"42.90000","2.85879","0.82040"
"43.00000","2.86526","0.82105"
"43.10000","2.87199","0.82175"
"43.20000","2.87871","0.82254"
"43.30000","2.88555","0.82352"
"43.40000","2.89188","0.82300"
"43.50000","2.89832","0.82378"
"43.60000","2.90526","0.82489"
"43.70000","2.91205","0.82515"
"43.80000","2.91874","0.82578"
"43.90000","2.92540","0.82647"
"44.00000","2.93224","0.82720"
"44.10000","2.93886","0.82751"
"44.20000","2.94508","0.82754"
"44.30000","2.95163","0.82827"
"44.40000","2.95863","0.82960"
"44.50000","2.96539","0.82986"
"44.60000","2.97206","0.83047"
"44.70000","2.97853","0.83095"
"44.80000","2.98559","0.83192"
"44.90000","2.99236","0.83231"
"45.00000","2.99864","0.83238"
"45.10000","3.00497","0.83231"
"45.20000","3.01167","0.83315"
"45.30000","3.01873","0.83408"
"45.40000","3.02542","0.83442"
"45.50000","3.03182","0.83491"
"45.60000","3.03878","0.83576"
"45.70000","3.04534","0.83602"
"45.80000","3.05198","0.83669"
"45.90000","3.05846","0.83665"
"46.00000","3.06511","0.83781"
"46.10000","3.07196","0.83839"
"46.20000","3.07862","0.83881"
"46.30000","3.08514","0.83904"
"46.40000","3.09212","0.83981"
"46.50000","3.09890","0.84056"
"46.60000","3.10543","0.84085"
"46.70000","3.11177","0.84068"
"46.80000","3.11831","0.84151"
"46.90000","3.12538","0.84245"
"47.00000","3.13203","0.84264"
"47.10000","3.13869","0.84336"
"47.20000","3.14530","0.84363"
"47.30000","3.15231","0.84397"
"47.40000","3.15886","0.84496"
"47.50000","3.16509","0.84494"
"47.60000","3.17159","0.84554"
"47.70000","3.17853","0.84603"
"47.80000","3.18542","0.84706"
"47.90000","3.19200","0.84728"
"48.00000","3.19860","0.84780"
"48.10000","3.20549","0.84819"
"48.20000","3.21212","0.84911"
"48.30000","3.21858","0.84887"
"48.40000","3.22506","0.84971"
"48.50000","3.23192","0.84991"
"48.60000","3.23860","0.85053"
"48.70000","3.24517","0.85091"
"48.80000","3.25187","0.85162"
"48.90000","3.25905","0.85230"
"49.00000","3.26562","0.85223"
"49.10000","3.27195","0.85277"
"49.20000","3.27828","0.85281"
"49.30000","3.28527","0.85374"
"49.40000","3.29221","0.85359"
"49.50000","3.29873","0.85396"
"49.60000","3.30512","0.85426"
"49.70000","3.31198","0.85466"
"49.80000","3.31886","0.85541"
"49.90000","3.32541","0.85523"
"50.00000","3.33176","0.85538"
"50.10000","3.33844","0.85576"
"50.20000","3.34517","0.85569"
"50.30000","3.35191","0.85677"
"50.40000","3.35854","0.85639"
"50.50000","3.36543","0.85726"
"50.60000","3.37210","0.85761"
"50.70000","3.37856","0.85785"
"50.80000","3.38505","0.85785"
"50.90000","3.39182","0.85823"
"51.00000","3.39876","0.85879"
"51.10000","3.40531","0.85912"
"51.20000","3.41178","0.85952"
"51.30000","3.41868","0.86023"
"51.40000","3.42572","0.86062"
"51.50000","3.43216","0.86065"
"51.60000","3.43840","0.86072"
"51.70000","3.44498","0.86131"
"51.80000","3.45203","0.86214"
"51.90000","3.45877","0.86256"
"52.00000","3.46524","0.86264"
"52.10000","3.47194","0.86301"
"52.20000","3.47872","0.86353"
"52.30000","3.48567","0.86376"
"52.40000","3.49197","0.86399"
"52.50000","3.49830","0.86416"
"52.60000","3.50519","0.86470"
"52.70000","3.51192","0.86490"
"52.80000","3.51865","0.86572"
"52.90000","3.52530","0.86600"
"53.00000","3.53222","0.86630"
"53.10000","3.53878","0.86636"
"53.20000","3.54511","0.86676"
"53.30000","3.55169","0.86732"
"53.40000","3.55864","0.86801"
"53.50000","3.56540","0.86801"
"53.60000","3.57197","0.86798"
"53.70000","3.57855","0.86923"
"53.80000","3.58554","0.86948"
"53.90000","3.59241","0.86945"
"54.00000","3.59870","0.86939"
"54.10000","3.60487","0.86920"
"54.20000","3.61173","0.86967"
"54.30000","3.61864","0.86948"
"54.40000","3.62542","0.87004"
"54.50000","3.63197","0.87000"
"54.60000","3.63859","0.86974"
"54.70000","3.64527","0.87030"
"54.80000","3.65199","0.87025"
"54.90000","3.65848","0.87070"
"55.00000","3.66516","0.87072"
"55.10000","3.67178","0.87104"
"55.20000","3.67858","0.87125"
"55.30000","3.68527","0.87123"
"55.40000","3.69218","0.87211"
"55.50000","3.69891","0.87178"
"55.60000","3.70531","0.87174"
"55.70000","3.71163","0.87141"
"55.80000","3.71832","0.87224"
"55.90000","3.72562","0.87233"
"56.00000","3.73208","0.87247"
"56.10000","3.73839","0.87199"
"56.20000","3.74513","0.87279"
"56.30000","3.75230","0.87326"
"56.40000","3.75895","0.87319"
"56.50000","3.76520","0.87296"
"56.60000","3.77154","0.87331"
"56.70000","3.77846","0.87346"
"56.80000","3.78551","0.87397"
"56.90000","3.79210","0.87366"
"57.00000","3.79857","0.87384"
"57.10000","3.80525","0.87396"
"57.20000","3.81205","0.87412"
"57.30000","3.81866","0.87452"
"57.40000","3.82515","0.87461"
"57.50000","3.83207","0.87479"
"57.60000","3.83836","0.87462"
"57.70000","3.84514","0.87503"
"57.80000","3.85197","0.87537"
"57.90000","3.85910","0.87559"
"58.00000","3.86560","0.87532"
"58.10000","3.87174","0.87494"
"58.20000","3.87809","0.87508"
"58.30000","3.88531","0.87572"
"58.40000","3.89235","0.87621"
"58.50000","3.89879","0.87584"
"58.60000","3.90504","0.87591"
"58.70000","3.91198","0.87647"
"58.80000","3.91904","0.87628"
"58.90000","3.92553","0.87616"
"59.00000","3.93172","0.87594"
"59.10000","3.93822","0.87591"
"59.20000","3.94518","0.87663"
"59.30000","3.95207","0.87735"
"59.40000","3.95872","0.87708"
"59.50000","3.96552","0.87776"
"59.60000","3.97189","0.87777"
"59.70000","3.97845","0.87762"
"59.80000","3.98509","0.87773"
"59.90000","3.99196","0.87810"
"60.00000","3.99888","0.87792"
"60.10000","4.00511","0.87780"
"60.20000","4.01168","0.87789"
"60.30000","4.01871","0.87785"
"60.40000","4.02590","0.87781"
"60.50000","4.03219","0.87744"
"60.60000","4.03831","0.87689"
"60.70000","4.04484","0.87703"
"60.80000","4.05208","0.87705"
"60.90000","4.05894","0.87681"
"61.00000","4.06533","0.87623"
"61.10000","4.07179","0.87590"
"61.20000","4.07864","0.87628"
"61.30000","4.08563","0.87679"
"61.40000","4.09200","0.87614"
"61.50000","4.09836","0.87612"
"61.60000","4.10514","0.87596"
"61.70000","4.11187","0.87628"
"61.80000","4.11865","0.87626"
"61.90000","4.12546","0.87622"
"62.00000","4.13244","0.87616"
"62.10000","4.13872","0.87577"
"62.20000","4.14500","0.87548"
"62.30000","4.15170","0.87558"
"62.40000","4.15883","0.87568"
"62.50000","4.16542","0.87551"
"62.60000","4.17195","0.87541"
"62.70000","4.17843","0.87560"
"62.80000","4.18566","0.87583"
"62.90000","4.19242","0.87580"
"63.00000","4.19874","0.87544"
"63.10000","4.20493","0.87521"
"63.20000","4.21162","0.87556"
"63.30000","4.21871","0.87600"
"63.40000","4.22554","0.87576"
"63.50000","4.23196","0.87580"
"63.60000","4.23852","0.87559"
"63.70000","4.24523","0.87561"
"63.80000","4.25210","0.87575"
"63.90000","4.25861","0.87550"
